#	Model_Name	Family	Equation	Variables	Purpose	Location	Implemented	Status	Cross_Refs	Domain_Type	Bind_Class
0	UQGET_Hubble_Tension	Quantum Geometry	H0 = 73.3 ± 1.5 km s⁻¹ Mpc⁻¹ (68% CL)	H0=Hubble constant, Mpc=megaparsec	Unified Quantum-Geometric Emergence Theory - resolves Hubble tension via spacetime emergence from quantum entanglement dynamics. Aligns with Planck 2018, DESI 2024, Pantheon+ datasets.	https://www.academia.edu/128148840/Unified_Quantum_Geometric_Emergence_Theory_Entanglement_Driven_Spacetime_Revised_Version	Documented	✅	LAYER_G_ENERGY	geometric_bind
1	UQGET_Structure_Tension	Quantum Geometry	S8 = 0.810 ± 0.008	S8=structure formation parameter (σ8·Ωm^0.5)	UQGET resolves structure formation tension through non-equilibrium quantum physics and multi-field models.	https://www.academia.edu/128148840/Unified_Quantum_Geometric_Emergence_Theory_Entanglement_Driven_Spacetime_Revised_Version	Documented	✅	LAYER_G_ENERGY	geometric_bind
2	UQGET_Statistical_Fit	Quantum Geometry	χ²/d.o.f. = 1907.2/1949 (p = 0.78)	χ²=chi-squared statistic, d.o.f.=degrees of freedom, p=p-value	MCMC analysis demonstrates statistical robustness with p = 0.78 indicating good fit to observational data.	https://www.academia.edu/128148840/Unified_Quantum_Geometric_Emergence_Theory_Entanglement_Driven_Spacetime_Revised_Version	Documented	✅	LAYER_G_ENERGY	geometric_bind
3	LASSO_MOGAT_GAT_Propagation	Machine Learning	h_i^(l+1) = σ(Σ_{j∈N(i)} α_ij^(l) W^(l) h_j^(l))	h_i^(l)=node representation, N(i)=neighborhood, α_ij^(l)=attention coefficient, W^(l)=weight matrix, σ=activation	Graph Attention Network propagation for multi-omics cancer classification using PPI networks.	https://www.academia.edu/2837-4010/2/3/10.20935/AcadBiol7325	Documented	✅	LAYER_H_ALGEBRA	informational_bind
4	LASSO_MOGAT_Attention_Coefficient	Machine Learning	α_ij^(l) = softmax_j(LeakyReLU(a→^(l)^T [W^(l) h_i^(l) || W^(l) h_j^(l)]))	||=concatenation, a→^(l)=weight vector, LeakyReLU=activation	Attention coefficient computation for graph edges using softmax over neighbors.	https://www.academia.edu/2837-4010/2/3/10.20935/AcadBiol7325	Documented	✅	LAYER_H_ALGEBRA	informational_bind
5	Multiphasic_Allometry_LogLog_Scaling	Biology	Y = b·X + a (log-log space)	Y=log(metabolic rate), X=log(body mass), b=scaling exponent, a=intercept	Log-log regression for metabolic rate scaling with body mass across developmental stages. Different scaling exponents (b) indicate multiphasic ontogenetic allometry.	https://www.academia.edu/2837-4010/2/4/10.20935/AcadBiol7411	Documented	✅	LAYER_G_ENERGY	thermodynamic_bind
6	Multiphasic_Allometry_Quadratic	Biology	Y = a·X² + b·X + c (curvilinear)	Y=log(metabolic rate), X=log(body mass), a,b,c=regression coefficients	Quadratic regression for detecting nonlinear metabolic scaling. First derivative dY/dX = 2aX + b gives instantaneous slope.	https://www.academia.edu/2837-4010/2/4/10.20935/AcadBiol7411	Documented	✅	LAYER_G_ENERGY	thermodynamic_bind
7	Multiphasic_Allometry_Instantaneous_Slope	Biology	dY/dX = 2aX + b (where Y = aX² + bX + c)	X=log(body mass), a,b=quadratic coefficients	First derivative of quadratic regression gives instantaneous scaling slope at any body size. Used to detect ontogenetic shifts in metabolic scaling.	https://www.academia.edu/2837-4010/2/4/10.20935/AcadBiol7411	Documented	✅	LAYER_G_ENERGY	thermodynamic_bind
8	Affine_Mapping_LTSF_Linear_Layer	Time Series	Y = X·W + b	X=input historical time series, Y=prediction, W=transition matrix (R^n×m), b=bias (R^1×m)	Single linear layer (affine transformation) for long-term time series forecasting. Dominates forecasting performance on periodic signals.	https://www.academia.edu/3071-0286/2/2/10.20935/AcadAI8236	Documented	✅	LAYER_H_ALGEBRA	informational_bind
9	Affine_Mapping_Time_Series_Decomposition	Time Series	x(t) = s(t) + f(t) + ε	s(t)=seasonality, f(t)=trend, ε=noise	Time series decomposition into seasonal and trend components. Basis for understanding why affine mapping works well on periodic data.	https://www.academia.edu/3071-0286/2/2/10.20935/AcadAI8236	Documented	✅	LAYER_H_ALGEBRA	informational_bind
10	Affine_Mapping_Periodic_Theorem	Time Series	x(t) = s(t) = s(t-p) where p ≤ n	p=period, n=input length, t=time index	For seasonal time series with period p, affine mapping has analytical solution when input length ≥ period. Explains competitive performance on seasonal benchmarks.	https://www.academia.edu/3071-0286/2/2/10.20935/AcadAI8236	Documented	✅	LAYER_H_ALGEBRA	informational_bind
11	Affine_Mapping_Scaled_Periodic	Time Series	x(t) = a·x(t-p) + c	a=scaling factor, c=translation factor	Extended periodic model with scaling and translation. Still has closed-form solution for affine mapping. Handles amplitude-modulated periodic signals.	https://www.academia.edu/3071-0286/2/2/10.20935/AcadAI8236	Documented	✅	LAYER_H_ALGEBRA	informational_bind
12	MOF_CO2_Reduction_2e_Electrochemistry	Chemistry	CO2 + 2H+ + 2e- → CO + H2O	E=applied potential, n=2 electrons	2-electron CO2 reduction to carbon monoxide. Primary product in electrocatalysis with Cu-based catalysts.	https://www.academia.edu/2998-3665/2/1/10.20935/AcadEnergy7604	Documented	✅	LAYER_G_ENERGY	thermodynamic_bind
13	MOF_CO2_Reduction_Formic_Acid	Chemistry	CO2 + 2H+ + 2e- → HCOOH	E=applied potential, n=2 electrons	2-electron CO2 reduction to formic acid. Major product in electrocatalysis, especially with Zr-MOF catalysts.	https://www.academia.edu/2998-3665/2/1/10.20935/AcadEnergy7604	Documented	✅	LAYER_G_ENERGY	thermodynamic_bind
14	MOF_CO2_Reduction_6e_Methanol	Chemistry	CO2 + 6H+ + 6e- → CH3OH + H2O	E=applied potential, n=6 electrons	6-electron CO2 reduction to methanol. Highest methanol rate achieved by Au10@ZIF-67 in photocatalysis.	https://www.academia.edu/2998-3665/2/1/10.20935/AcadEnergy7604	Documented	✅	LAYER_G_ENERGY	thermodynamic_bind
15	MOF_CO2_Reduction_8e_Methane	Chemistry	CO2 + 8H+ + 8e- → CH4 + 2H2O	E=applied potential, n=8 electrons	8-electron CO2 reduction to methane. Highest methane rate achieved by MIL-101(Cr)-Ag in photocatalysis.	https://www.academia.edu/2998-3665/2/1/10.20935/AcadEnergy7604	Documented	✅	LAYER_G_ENERGY	thermodynamic_bind
16	COUCH_Equation	Chaotic Dynamics	ẍ_i + γẋ_i + ω_i²x_i + Σ_j κ_ij(x_i - x_j) = F(t)	γ=damping, ω_i=natural frequency, κ_ij=coupling strength, F(t)=forcing function	Coupled Oscillator for Universal Chaotic Hysteresis - models non-linear coupled oscillator systems exhibiting chaotic "super freak" behavior and path-dependent hysteresis loops. Phase space trajectories exhibit strange attractors.	docs/geometry/COUCH_EQUATION.md	Documented	✅	LAYER_E_VERIFICATION	thermodynamic_bind
276	Nernst Potential	Biophysics	$E = (RT/zF) \ln(C_{out}/C_{in})$		Ion-specific reversal potential law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_L_APPLICATION	physical_bind
277	GHK Equation	Biophysics	$V_m = f(P_i, C_i)$		Resting membrane potential invariant	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_L_APPLICATION	physical_bind
278	Donnan Product	Biophysics	$[K]_{in}[Cl]_{in} = [K]_{out}[Cl]_{out}$		Passive ion distribution equilibrium	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_L_APPLICATION	physical_bind
279	Gibbs-Duhem Eq	Biophysics	$\sum n_i d\mu_i = 0$		Cellular chemical potential coupling	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_G_ENERGY	thermodynamic_bind
280	Second Bio-Law	Biophysics	$\Delta S_{tot} > 0$		Biological entropy export requirement	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_G_ENERGY	thermodynamic_bind
281	French Flag Model	Developmental Biology	$C(x) \to \{B, W, R\}$		Positional information threshold law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_F_CONTROL	control_bind
282	SDD Gradient	Developmental Biology	$C(x) = C_0 e^{-x/\lambda}$		Source-Diffusion-Degradation steady state	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_G_ENERGY	thermodynamic_bind
283	Lewis's Law	Biophysics	$A_n \propto 1 + \alpha(n-6)$		Cell area-neighbor topological law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
284	Aboav-Weaire Law	Biophysics	$m(n) = 5 + 6/n$		Neighbor-neighbor topology invariant	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
285	Growth Dilution	Ecology	$\dot{C} = -C \nabla \cdot V$		Advective scaling on growing manifolds	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
286	Redfield Ratio	Biogeochemistry	$C:N:P = 106:16:1$		Biogeochemical stoichiometry invariant	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_G_ENERGY	thermodynamic_bind
287	Holling Response	Ecology	$f(N) = aN / (1+ahN)$		Predator-prey functional response laws	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_F_CONTROL	control_bind
288	Eco-Connectance	Ecology	$C = L / S^2$		Food web structural complexity metric	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
289	Taylor's Law	Ecology	$\sigma^2 = a \mu^b$		Population density variance scaling law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
290	Logistic Map	Ecology	$x_{n+1} = rx(1-x)$		Discrete population chaos transition	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_F_CONTROL	control_bind
291	Lotka's Invariant	Demography	$\int e^{-ra} p(a) m(a) da = 1$		Stable population age distribution law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
292	Tetz's Law	Evolutionary Biology	$t_{death} \leftarrow q(t) \ge q_{max}$		Pangenome alteration lifespan limit	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
293	Survival Limit	Demography	$P(S) \to 0$		Stretched exponential mortality plateau	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
294	Genomic Entropy	Genetics	$H = -\sum p \log p$		DNA/RNA sequence information content	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
295	Codon Hamming	Genetics	$d_H = \sum [b_i \neq b_j]$		Genetic mutation cost metric	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
296	Bio-Capacity	Genetics	$C = 1 - H(p)$		Maximum sustainable replication rate	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
297	Error Catastrophe	Evolutionary Biology	$p_{max} \approx \ln(\sigma)/L$		Information persistence limit law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
298	Bio-Hamiltonian	Evolutionary Biology	$H = p \cdot f(x,u,t)$		Pontryagin life-history optimization	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_F_CONTROL	control_bind
299	Requisite Variety	Control Theory	$V_{sys} \ge V_{env}$		Ashby's homeostatic stability law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_F_CONTROL	control_bind
300	Bio-Reinforcement	Neuroscience	$\Delta V = r - V$		Integral RL optimal control update	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_F_CONTROL	control_bind
301	Pareto Robustness	Evolutionary Biology	$Dist(R, P) \to 0$		Performance-reliability trade-off law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
302	Limit Cycle Thm	Dynamical Systems	Poincaré-Bendixson		Rhythmic robustness necessity law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_F_CONTROL	control_bind
303	Phase Singularity	Dynamical Systems	$\text{Amp} \to 0$ at $S^*$		Winfree's topological clock stopping	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
304	Self-Assembly ΔG	Biophysics	$\Delta G = \Delta H - T\Delta S$		Hydrophobic structure formation law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_G_ENERGY	thermodynamic_bind
305	CMC Threshold	Biophysics	$C > CMC$		Micelle formation phase transition	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_G_ENERGY	thermodynamic_bind
306	DNA Tile Logic	Biophysics	$G_a \equiv G_b > T$		Algorithmic self-assembly matching	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_G_ENERGY	thermodynamic_bind
307	Hawk-Dove ESS	Evolutionary Biology	$p = V/C$		Evolutionary game mixed strategy	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
308	Van Valen's Law	Evolutionary Biology	$\ln N = -kt + C$		Constant extinction probability law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
309	Scale-Free Dist	Network Theory	$P(k) \propto k^{-\gamma}$		Biological network structural invariant	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
310	Preferential Att	Network Theory	$w_i \propto k_i$		Network hub formation mechanism	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
311	Neutrality Rule	Evolutionary Biology	$		s	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
312	Adami Complexity	Evolutionary Biology	$C = L - H$		Genomic information measure	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
313	Regulatory Law	Genetics	$R \propto N^2$		Quadratic scaling of transcription factors	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
314	Revelle Factor	Biogeochemistry	$\beta = \Delta pCO_2 / \Delta DIC$		Oceanic chemical buffer capacity law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_G_ENERGY	thermodynamic_bind
315	Remineral Ratio	Biogeochemistry	$O:C \approx 1.3$		Redfield-Kester remineralization invariant	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_G_ENERGY	thermodynamic_bind
316	Small-World Law	Network Theory	$C(\beta) \sim (1-\beta)^3$		Local clustering in modular networks	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
317	Modularity Q	Network Theory	$Q = \sum (e_{ii} - a_i^2)$		Network functional division metric	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
318	HOT Principle	Complexity Theory	$\min \sum P_i L_i$		Robustness-fragility optimization law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_F_CONTROL	control_bind
319	Complexity Law	Complexity Theory	$\sigma^2(t) = \sigma^2(0) + 2Dt$		McShea's spontaneous complexity growth	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
320	GK-Switch	Biophysics	$x = G(v_1, v_2, J_1, J_2)$		Zeroth-order ultrasensitivity law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_F_CONTROL	control_bind
321	Mitotic Oscillator	Cell Biology	$\dot{u}, \dot{v}$ (Tyson)		Cell cycle limit cycle dynamics	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_F_CONTROL	control_bind
322	PER-CRY Feedback	Circadian Biology	$Rate = K^n / (K^n + R^n)$		Molecular circadian clock repression	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_F_CONTROL	control_bind
323	Keller-Segel	Developmental Biology	$J = \chi u \nabla c$		Chemotactic advection-diffusion law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_F_CONTROL	control_bind
324	Epigenetic Clock	Epigenetics	$Age = \sum \beta_i \cdot DNAm_i$		Horvath's methylation-based aging law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
325	Kinetic Proofread	Biophysics	$\eta \approx (\eta_{eq})^N$		Energy-driven biological error correction	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_G_ENERGY	thermodynamic_bind
326	Biodiversity Num	Ecology	$\theta = 2 J_m \nu$		Hubbell's unified neutral theory metric	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
327	Hick's Law	Cognitive Science	$RT = a + b \log(n+1)$		Decision time vs choice complexity law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
328	Fitts's Law	Cognitive Science	$MT = a + b \log(A/W + 1)$		Motor control speed-accuracy invariant	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
329	Zipf's Law	Information Theory	$P(r) \propto r^{-s}$		Codeword/abundance power law scaling	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
330	Laughlin's Law	Neuroscience	$Cost \propto \text{Capacity}$		Metabolic efficiency of neural information	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_G_ENERGY	thermodynamic_bind
331	Hebb's Law	Neuroscience	$\Delta w = \eta xy$		Fundamental associative learning rule	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_F_CONTROL	control_bind
332	Oja's Rule	Neuroscience	$\Delta w = \eta(xy - y^2 w)$		Stable PCA-based synaptic plasticity	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_F_CONTROL	control_bind
333	Hopfield Energy	Neuroscience	$E = -0.5 \sum w_{ij} s_i s_j$		Neural attractor memory stability law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_G_ENERGY	thermodynamic_bind
334	Critical Power Law	Complexity Theory	$P(s) \sim s^{-\tau}$		Self-organized criticality invariant	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
335	Broken Stick	Ecology	$E(R_j) = \frac{1}{n} \sum 1/i$		Null model for species abundance	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
336	Niche Breadth	Ecology	$B = 1 / \sum p_i^2$		Levins' specialization-diversity index	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
337	Niche Overlap	Ecology	$M_{jk} = \sum p_j p_k / \sum p_j^2$		Competitive impact asymmetry law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
338	Motor Efficiency	Biophysics	$\eta_{th} = fl / \Delta \mu$		Thermodynamic Brownian ratchet law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_G_ENERGY	thermodynamic_bind
339	Parrondo Paradox	Game Theory	$L_1 + L_2 \to W$		Winning-by-switching evolution law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_F_CONTROL	control_bind
340	Somite Size Law	Developmental Biology	$S = v \cdot T$		Clock-and-wavefront segmentation invariant	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
341	Morphogen Scaling	Developmental Biology	$\lambda \propto L$		Expansion-repression scale invariance	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
342	MDDR Growth Law	Developmental Biology	$\dot{M}/M = \text{const}$		Morphogen-dependent cell division rule	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_F_CONTROL	control_bind
343	Anfinsen's Dogma	Biophysics	$G_{native} = \min(G)$		Protein native state global minimum	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_G_ENERGY	thermodynamic_bind
344	Levinthal Space	Biophysics	$\Omega = m^n$		Conformational search complexity	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
345	Folding Landscape	Biophysics	$P_i = e^{-E_i/kT} / Z$		Boltzmann conformation distribution	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_G_ENERGY	thermodynamic_bind
346	Contact Order	Biophysics	$CO = (1/LN) \sum \Delta S$		Protein folding rate topological law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
347	Fermat's Path Law	Biophysics	$\sin \theta / v = \text{const}$		Optimal animal trail refraction law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
348	Max Flux Principle	Metabolism	$\max \mathbf{c}^T \mathbf{v}$		Metabolic network optimization objective	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_G_ENERGY	thermodynamic_bind
349	Max Power Law	Thermodynamics	$P = \eta \Phi \to \max$		Lotka's principle of self-organization	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_G_ENERGY	thermodynamic_bind
350	Least Action Law	Physics	$\delta \int (T-V) dt = 0$		Euler-Lagrange population trajectory	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
351	Action Functional	Physics	$S = \int L dt$		Cumulative trajectory cost metric	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
352	CSD Autocorr	Complexity Theory	$\alpha \to 1$ as $\lambda \to 0$		Tipping point early warning signal	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
353	CSD Variance	Complexity Theory	$Var \propto 1 / (1-\alpha^2)$		Noise amplification near instability	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
354	Recovery Rate	Ecology	$\lambda = -1/\tau$		Speed of return to stable equilibrium	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_F_CONTROL	control_bind
355	Resilience Basin	Ecology	$Depth, Width$		Geometrical stability of attractors	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
356	Horton Number Law	Biophysics	$N_k = R_B^{K-k}$		Branch count geometric series law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
357	Horton Length Law	Biophysics	$L_k = L_1 R_L^{k-1}$		Branch length geometric series law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
358	WBE Exponent	Biophysics	$\alpha = 3/4$		Metabolic scaling fractal dimension	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
359	Heart Rate Law	Biophysics	$HR \propto M^{-1/4}$		Quarter-power heart rate scaling law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
360	Blood Volume Law	Biophysics	$V_b \propto M^1$		Isometric blood mass invariant	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
361	Sensing Limit	Biophysics	$\delta c/c \sim (Dac\tau)^{-1/2}$		Berg-Purcell chemoreception bound	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_L_APPLICATION	physical_bind
362	Signaling SNR	Biophysics	$SNR \approx \Delta c^2 Dac\tau$		Bialek's physical limit of detectors	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
363	Positional Noise	Biophysics	$\Delta x \approx (\delta c/c) /		\nabla c/c	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
364	Oregonator BZ	Chemical Physics	$x, y, z$ (non-equilibrium)		Chemical oscillator kinetics law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_F_CONTROL	control_bind
365	Firefly Synchrony	Neuroscience	$\dot{\theta} = \omega + A \sin(\Delta \theta)$		Pulse-coupled oscillator entrainment	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_F_CONTROL	control_bind
366	Bio-Continuity	Biophysics	$\dot{u} + \nabla \cdot (Vu) = F$		General conservation of biological mass	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_L_APPLICATION	physical_bind
367	Strouhal Number	Biomechanics	$St = fA / U$		Propulsive efficiency invariant	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
368	Froude Number	Biomechanics	$Fr = v^2 / gL$		Terrestrial gait transition invariant	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
369	Huxley Muscle Law	Biomechanics	$\dot{n} = f(1-n) - gn$		Myosin cross-bridge attachment kinetics	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_L_APPLICATION	physical_bind
370	Monod Equation	Microbiology	$\mu = \mu_{max} S / (K_s + S)$		Nutrient-limited microbial growth law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_G_ENERGY	thermodynamic_bind
371	Pirt's Law	Microbiology	$q_s = \mu / Y_G + m$		Maintenance energy partitioning law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_G_ENERGY	thermodynamic_bind
372	Verhulst Logistic	Ecology	$\dot{P} = rP(1-P/K)$		Population growth with carrying capacity	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_F_CONTROL	control_bind
373	Gompertz Growth	Ecology	$\dot{V} = r V \ln(K/V)$		Asymmetric sigmoidal biomass accumulation	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_F_CONTROL	control_bind
374	MCA Control Coeff	Metabolism	$C^J_v = \partial \ln J / \partial \ln v$		System-level metabolic sensitivity	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_G_ENERGY	thermodynamic_bind
375	MCA Summation	Metabolism	$\sum C^J_{v_i} = 1$		Conservation of metabolic control law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_G_ENERGY	thermodynamic_bind
376	Perfect Adapt	Control Theory	$\dot{m} = k_R R - k_B B \phi(A)$		Barkai-Leibler robustness invariant	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_F_CONTROL	control_bind
377	Demand Rule	Genetics	$D \to 1 \implies \text{Activator}$		Savageau's regulatory logic selection	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_F_CONTROL	control_bind
378	Place Theory	Perception	$m \ddot{x} + \beta \dot{x} + \kappa x = F$		Helmholtz cochlear resonance law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
379	Traveling Wave	Perception	$\phi = \omega t - \int k dx$		Békésy's cochlear wave phase invariant	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
380	Tonotopic Map	Perception	$f = A(10^{ax} - K)$		Greenwood frequency-position function	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_C_TOPOLOGY	geometric_bind
381	Cochlear Amp	Biophysics	$\dot{z} = (\mu+i\omega)z -		z	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_L_APPLICATION	physical_bind
382	R* Theory	Ecology	$R^* = Kd / (\mu_{max} - d)$		Resource-ratio competition equilibrium	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
383	SM Correlation	Demography	$\ln \alpha \approx \ln K - c\beta$		Initial mortality vs aging rate law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
384	Vitality Decay	Demography	$V(t) = V_0(1 - Bt)$		Homeostatic energy reserve decline	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_G_ENERGY	thermodynamic_bind
385	Mortality Plateau	Demography	$\mu(x) \to s$ as $x \to \infty$		Late-life mortality deceleration law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
386	Bark Scale	Perception	$z = 13 \arctan(k f) + \dots$		Perceptual auditory filter rate law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
387	Crit Bandwidth	Perception	$\Delta f = 25 + 75 [1 + 1.4 f^2]^{0.69}$		Ear energy integration bandwidth law	docs/MATH_MODEL_MAP.md	Documented	✅		LAYER_A_COMPRESSION	informational_bind
